month,cases,temp,rain,humidity,WindSpeed
2010-01-01,167734,25.5886356374753,46311.3436000004,77.0916024707786,3.2165974765974767
2010-02-01,212587,25.5491342384463,39421.4761999998,77.3866896601331,3.245866910866911
2010-03-01,256705,25.1680098228736,37290.2377,79.0419053362704,3.036233211233211
2010-04-01,236685,23.3882708685488,29809.8987000001,77.177129720374,3.133966218966219
2010-05-01,187803,21.8689723898579,23942.3012,76.4848169429959,3.1593650793650796
2010-06-01,65617,20.906404931667,9028.16009999995,71.5465230489121,3.386890516890517
2010-07-01,46307,21.037568539831,16003.9773,71.1570092024816,3.611888481888482
2010-08-01,44756,21.513355241863,7786.7169000002,63.4713539075706,3.6840964590964593
2010-09-01,29535,23.2649746493436,17142.6236,64.3779906851286,3.8663634513634517
2010-10-01,33294,23.7001842941917,34233.1383999999,71.2555729185398,3.341174196174196
2010-11-01,41422,24.4270078133429,34537.9475,74.0579255035066,3.282281237281237
2010-12-01,73145,24.6212193598274,59653.9410999997,78.262634946952,3.193015873015873
2011-01-01,127326,25.0042910411796,60955.8138999996,79.6124112821435,3.1313186813186813
2011-02-01,163954,24.6794362389858,55628.0339,80.2315105106995,3.0366890516890517
2011-03-01,213044,24.2755032638015,46050.6115999999,81.9121531738896,3.0814245014245016
2011-04-01,220936,23.3569158604568,33711.8614999998,80.3493490649164,2.917743182743183
2011-05-01,177870,21.33988652041,20180.0271000002,77.1130969717677,3.0815201465201465
2011-06-01,51671,20.3024353398669,17461.138,74.739668706168,3.3141249491249494
2011-07-01,35677,20.5590644668225,19773.2846,70.8865618054307,3.462446072446072
2011-08-01,22107,22.1980483141521,12540.4218999998,65.1258950818198,3.754135124135124
2011-09-01,22776,23.0247645432476,10709.5868,62.5965984085596,3.747761497761498
2011-10-01,33312,23.3371921956483,38827.2550999998,73.419978313253,3.5313024013024013
2011-11-01,34099,23.8391967721633,33831.9938000001,74.2330336090631,3.4014183964183964
2011-12-01,45859,24.6938151861176,36228.3780999997,73.9150370167236,3.260966625966626
2012-01-01,91648,24.5013688293472,53208.5541999997,76.2206491638195,3.318844118844119
2012-02-01,92859,25.1839614907391,32477.2769999997,74.591088176587,3.204155474155474
2012-03-01,136487,24.5622779356231,26529.6445000001,73.8364622055386,2.9606023606023606
2012-04-01,218854,23.6315568962417,25297.8188999997,74.4772058155008,2.959462759462759
2012-05-01,151630,22.0724394668225,14877.669,75.7622889678116,3.18483312983313
2012-06-01,75485,21.2508114098184,19897.1597999998,76.1184828582989,3.189888074888075
2012-07-01,49262,20.7849923467002,14291.0093999996,69.6818264269016,3.531218966218966
2012-08-01,25528,22.1494798912066,5153.56050000003,63.8756831235389,3.8828876678876676
2012-09-01,24519,23.665618615357,14851.9299,62.2056656069052,3.759334554334554
2012-10-01,19733,24.8935687466283,19375.5532000002,67.6101243301564,3.7221754171754173
2012-11-01,26602,24.6571123628844,32127.9368999997,73.2094384463226,3.162853072853073
2012-12-01,91131,25.664761628604,49894.4840999994,73.978475502008,3.28453194953195
2013-01-01,195805,24.8832615446862,44952.2342999998,76.5415590855961,3.2097110297110296
2013-02-01,330362,25.1968881720913,36533.2198999997,75.6254024321165,3.193406593406593
2013-03-01,648764,24.6114456752383,50636.5467999997,78.0883415644668,3.1623748473748474
2013-04-01,410806,23.0058372370077,23685.6034000003,77.4109296844093,3.001037851037851
2013-05-01,172538,21.7960263756519,21955.9629000001,76.5914384732962,3.040087505087505
2013-06-01,88802,21.3547508865312,26196.3034999999,77.9311980219385,3.031847781847782
2013-07-01,34973,20.6077174249236,11665.9368999998,71.1282652220823,3.369312169312169
2013-08-01,26250,21.2153961247977,13070.4468000001,67.0124543022838,3.6824847374847374
2013-09-01,24923,23.1255798453516,24200.1032999998,68.0465485883834,3.8489540089540086
2013-10-01,19382,23.8616961023197,19975.9824999998,70.1535656761374,3.6003296703296703
2013-11-01,24560,24.444683865312,32123.7515000002,73.3234662515735,3.540258445258446
2013-12-01,39293,25.3905610471738,62303.5097000003,75.8787834652041,3.2066788766788767
2014-01-01,54903,25.5007358523647,28033.5363000003,73.588393971408,3.147991452991453
2014-02-01,81058,25.366822495954,34045.2226000004,73.4910608748427,3.2764550264550265
2014-03-01,162266,24.488719856141,44502.5484999997,78.8128244056824,3.083013838013838
2014-04-01,211451,23.2605828448121,28528.2410999998,78.871194447941,2.9664245014245014
2014-05-01,154234,21.8686492447402,19647.3336000001,77.3788992492357,2.963581603581604
2014-06-01,85264,21.4691782880777,25074.7510999998,74.4564625427082,3.3556776556776557
2014-07-01,38020,20.7650400917101,15347.1334,72.6526689264521,3.5056105006105005
2014-08-01,36474,22.2284993814062,11012.6732,65.591938834742,3.53015059015059
2014-09-01,32119,23.7201819546844,19004.7009000001,66.5902880731883,3.7640109890109885
2014-10-01,32628,24.9388848363604,15782.2295000001,65.4849786773961,3.588882783882784
2014-11-01,40908,24.5984955727387,42853.1621,73.5810135047653,3.3861233211233213
2014-12-01,30205,25.2880121057364,45853.7264000003,75.0504848516454,3.394417989417989
2015-01-01,110813,25.9168565995325,26754.3418000001,71.915204576515,3.1443589743589744
2015-02-01,247020,25.0789443939939,44776.8996999997,77.7596361940299,3.1259869759869763
2015-03-01,604359,24.5186672145298,48774.0464,79.3074543463406,2.858119658119658
2015-04-01,514055,23.670971331595,25810.8978,79.0962558487682,2.8475702075702074
2015-05-01,372869,22.1738797194749,26200.0511999998,78.8739662686567,3.1904843304843307
2015-06-01,118717,21.2673597239705,17956.0558,75.4497755844273,3.3667134717134717
2015-07-01,60939,21.398108721453,19902.5624000001,74.6232311319907,3.536780626780627
2015-08-01,52482,22.9681094227657,8938.4206,65.5638986513217,3.7405372405372406
2015-09-01,38330,24.3878981792843,23944.6623999999,66.6765316534796,3.6294383394383396
2015-10-01,43210,25.2445042303543,21652.3088000002,67.5566183330336,3.7377920227920223
2015-11-01,112954,25.4436132062579,45654.7846999994,73.1110486711023,3.428986568986569
2015-12-01,152094,25.9096723790685,49859.2677999997,74.555462049991,3.434692714692715
2016-01-01,409588,25.1658985434274,73613.1035999996,79.8460170005395,3.2248595848595847
2016-02-01,563112,25.7387141925913,36160.2544000002,77.2509304756339,3.1344179894179898
2016-03-01,491339,25.2475626506024,35066.1007000001,77.6102560690523,3.019240944240944
2016-04-01,359448,25.0192801294731,19223.5282,72.9710039516274,3.152118437118437
2016-05-01,164922,22.0465441791045,24481.0039,76.7656226829707,3.032071632071632
2016-06-01,49897,20.3125825391117,9766.07939999989,73.4321586360367,3.232926332926333
2016-07-01,35807,21.3834899298687,9937.39699999997,67.2535300773242,3.416037851037851
2016-08-01,21399,22.3329808532638,14346.3152999999,66.9950262947312,3.5664570614570614
2016-09-01,18930,23.2452315500809,11244.3465000001,65.589508199964,3.5105901505901507
2016-10-01,28140,24.4217502427621,31539.8802,69.6353714835461,3.6438990638990636
2016-11-01,29630,24.7651690793023,31442.7191999997,72.2849691467362,3.477315832315832
2016-12-01,46659,25.3352139138644,36591.6616,74.8212476982557,3.302842897842898
2017-01-01,71391,25.5463979248337,49643.0939000003,75.8786226146377,3.1418579568579568
2017-02-01,66084,25.392808865312,42140.3550999998,77.6350454684409,3.088884818884819
2017-03-01,74328,24.6706662380867,32683.6993,77.4524817164179,3.0603093203093206
2017-04-01,86173,23.4713528502068,32666.5595999998,77.9706454378709,3.0868050468050465
2017-05-01,54831,22.5758409368819,30283.5389000003,78.7752842519331,3.1983251933251933
2017-06-01,33442,21.4035459045136,15507.6336999997,74.1962229949649,3.3617684167684168
2017-07-01,23227,20.4964858478691,9091.07060000005,68.1517568638734,3.6634106634106636
2017-08-01,16685,22.4599258541629,9969.1526999998,66.4163818288078,3.697741147741148
2017-09-01,19818,24.0993795585326,9887.78950000013,61.3626466777558,3.9348880748880752
2017-10-01,26465,24.6263403128934,28296.7763000002,67.6774175256249,3.8780586080586077
2017-11-01,22077,24.3301590046754,34336.0354,73.1252290550261,3.463408628408628
2017-12-01,42913,25.289675502008,60188.9499999995,76.1131867290056,3.202295482295482
2018-01-01,43066,25.0600587664089,39350.7937,76.2932832629023,3.2023667073667075
2018-02-01,47300,24.6128915662651,46206.3315,79.0091230758856,2.9504660154660156
2018-03-01,58398,25.0500779940658,36339.4161000003,79.3091751843194,3.0176007326007324
2018-04-01,87289,23.781221837799,29550.212,77.4196557777378,2.8802462352462355
2018-05-01,50995,21.8502562623629,15117.2295999998,75.113559818378,3.1372669922669925
2018-06-01,32491,21.1477997167776,11690.1133999999,74.148746996943,3.3068131868131867
2018-07-01,27876,21.3389440352455,12944.6517000002,69.300187405143,3.4425803825803825
2018-08-01,18030,21.7003881855781,10631.1781999998,68.6696495639274,3.4745360195360195
2018-09-01,20266,23.7556978600971,21381.8564999999,68.8351584211473,3.498907203907204
2018-10-01,19959,24.5101412156087,28348.4649999999,73.6589352184859,3.4498107448107445
2018-11-01,27948,24.6420959674519,36908.376,74.7077376191333,3.471695156695157
2018-12-01,74971,25.3539953665408,50950.0746000002,75.2155562638614,3.1721102971102972
2019-01-01,106448,26.0819320940478,27270.1338999998,73.7846433420248,3.1656919006919004
2019-02-01,189768,25.201587012228,51126.9541,78.6092819411976,2.9345380545380544
2019-03-01,410408,24.7754801150872,52977.8002999995,79.9101668297069,3.050952380952381
2019-04-01,501084,24.2118793562309,29003.4338999999,80.6121908604567,2.8296194546194546
2019-05-01,479469,23.0490342474375,24763.9576999999,78.7425886036684,3.014208384208384
2019-06-01,243024,21.8310030857759,13834.3113000002,72.52132307139,3.322006512006512
2019-07-01,75798,20.7754717227117,8266.32030000011,69.2160206752383,3.4745889295889296
2019-08-01,49167,21.9316051789247,7409.0980000001,66.3346902220824,3.7204843304843305
2019-09-01,51737,24.3116045962956,15743.2024,64.9175223592879,3.6643264143264145
2019-10-01,39181,25.2178691332494,16117.4942000001,68.0346639992807,3.4255250305250304
2019-11-01,45048,25.0723400062938,29082.7244999999,69.7014523242223,3.3215099715099714
2019-12-01,77879,25.2588000629383,51910.8354999998,71.9769673529941,3.303056573056573
2020-01-01,118701,25.2864602634418,45705.1853000003,76.1850408110052,3.1106919006919007
2020-02-01,209032,24.7702214215069,48095.0977000002,78.1076544416472,3.0824358974358974
2020-03-01,240782,24.4824767595756,47128.5469000002,76.4434028807768,2.8246845746845746
2020-04-01,151870,22.8032953830246,26103.5764,76.1713045405503,2.996961741961742
2020-05-01,111696,20.9956483654019,24729.7270999999,76.6767662290955,3.174920634920635
2020-06-01,45576,21.0754170248157,14494.4622,74.7215094587304,3.3353540903540906
2020-07-01,25335,20.9182624572919,10578.8123999999,69.8033294955943,3.4713166463166463
2020-08-01,16692,21.7715717640712,12503.5367999998,64.8632781226398,3.6742877492877493
2020-09-01,10091,24.5424311050171,9137.94400000009,60.440242420428,3.5899816849816846
2020-10-01,8352,24.7466141970869,18957.8289999999,66.285103600971,3.5047700447700447
2020-11-01,13968,24.4903498903075,33940.7628999996,70.3209873475994,3.2395217745217746
2020-12-01,11078,24.9297492717137,40958.3279000001,73.0921379967632,3.244141229141229
2021-01-01,36372,25.0335360043158,45459.6883999997,74.8319028556015,3.2153276353276357
2021-02-01,56081,24.2788051654379,45925.4655000002,77.3179121650782,3.0364082214082213
2021-03-01,77289,24.4725974914584,26756.9601,75.2835251078943,2.8557346357346356
2021-04-01,101375,23.0387686297428,18995.1745999998,74.6073213945334,3.0078164428164427
2021-05-01,89894,21.6563479446143,16194.3520999999,73.4472156123,3.0544505494505496
2021-06-01,42543,20.1528355691422,14156.1994999999,74.0254080291315,3.143125763125763
2021-07-01,25540,20.0387671461967,6237.57830000008,65.3349642465384,3.332395197395197
2021-08-01,20459,22.2233666462866,9500.54560000014,63.8409599604388,3.5531908831908834
2021-09-01,13017,24.545688253012,13129.3609,63.9196757507642,3.5265242165242165
2021-10-01,14924,24.0623410357849,39510.5060000003,72.0037588455314,3.413380138380138
2021-11-01,23561,24.4114880641971,31449.9069999999,72.5231862120122,3.20483312983313
2021-12-01,29845,24.7382269016364,54730.3023999997,74.88395003057,3.1466829466829465
2022-01-01,66933,24.9471190613199,57946.5145000004,77.3308090487322,3.104214489214489
2022-02-01,95563,25.0308180947671,34902.2984,75.6615582943715,2.9487057387057387
2022-03-01,246793,24.2422326110412,41216.5525999998,78.4760054441647,3.0411111111111113
2022-04-01,368725,23.5418548597375,26915.1355,76.7436663594677,3.0456410256410256
2022-05-01,333399,20.9268224635857,28278.0427999998,76.2868130516094,3.1152849002849003
2022-06-01,97036,20.1982141476353,13940.7111999996,74.8024291764071,3.1175498575498573
2022-07-01,59570,21.4854631936702,10169.7635999999,68.3254009818378,3.4555636955636952
2022-08-01,27843,20.9926537448301,12918.9141999998,65.8651877315231,3.64003256003256
2022-09-01,21150,22.2677296664269,17317.6147,67.6117000854163,3.6285612535612537
2022-10-01,23892,23.4985461463765,30830.1446999999,69.3921778565006,3.4944607244607244
2022-11-01,20782,23.7895804171912,33555.8706999999,72.3918913504765,3.290392755392755
2022-12-01,21956,24.2493140487322,43398.5509000006,76.5118381136486,3.235862840862841
2023-01-01,96007,24.4875577773782,55525.0816999994,77.7302951087934,3.0456634106634106
2023-02-01,171261,24.7217144038842,35362.6712,76.692851717317,2.9817663817663815
2023-03-01,335081,24.5394460843373,38788.8748000003,77.9520702076965,2.845801790801791
2023-04-01,503185,23.1472572990469,34271.6843999999,79.1670170616796,2.8151607651607655
2023-05-01,247471,21.708416444884,10687.0945000001,76.3158014880417,2.965868945868946
2023-06-01,95678,20.6503572064377,14502.8156999998,75.2030312174069,3.148781033781034
2023-07-01,51060,21.2522023628844,11719.0511999998,70.3420641287538,3.455343915343916
2023-08-01,27007,22.6324569906492,10989.0726999999,68.2058388823953,3.4300915750915753
2023-09-01,24883,24.5617688949829,13523.2295000001,65.9980851375652,3.7598575498575495
2023-10-01,35484,24.8996202481568,38999.6691999995,70.4053034238446,3.586155881155881
2023-11-01,52251,25.9384653434634,24063.9673000004,67.9598150782234,3.5042633292633294
2023-12-01,188131,25.6110518521849,48121.7123000003,73.0962113288977,3.26539479039479
2024-01-01,473754,25.4201988940838,38269.9484000003,76.1689093823053,3.1531847781847784
2024-02-01,1160774,25.5366935218486,45316.7307000002,78.659861513217,2.9957224257224255
2024-03-01,1978551,25.3831623089372,47595.8384999999,79.5203615141162,2.8704375254375254
2024-04-01,1341391,24.4243464754541,33222.0484,79.2190333932746,2.932311762311762
2024-05-01,702235,22.51589304082,17507.1700999999,75.966015680633,3.298343508343508
